Council name,Contest Name,First Name,Surname,Party Description,
Aberdeen City Council,Torry/Ferryhill Ward,Piotr,TEODOROWSKI,"Aberdeen Labour, making it happen",
Aberdeen City Council,Torry/Ferryhill Ward,Billy,WATSON,National Front,
Aberdeen City Council,Kincorth/Nigg/Cove Ward,Finlay,CROSSAN,Independent,
Aberdeen City Council,Kincorth/Nigg/Cove Ward,Sarah,DUNCAN,"Aberdeen Labour, making it happen",
Aberdeen City Council,Kincorth/Nigg/Cove Ward,Andy,FINLAYSON,Independent,
Aberdeen City Council,Kincorth/Nigg/Cove Ward,Cameron,FINNIE,Scottish Liberal Democrats,
Aberdeen City Council,Kincorth/Nigg/Cove Ward,Stephen,FLYNN,Scottish National Party (SNP),
Aberdeen City Council,Kincorth/Nigg/Cove Ward,Alex,NICOLL,Scottish National Party (SNP),
Aberdeen City Council,Kincorth/Nigg/Cove Ward,Philip,SELLAR,Scottish Conservative and Unionist,
Aberdeen City Council,Kincorth/Nigg/Cove Ward,Lynn,THOMSON,"Aberdeen Labour, making it happen",
101,,,,,
Aberdeenshire Council,Banff and District Ward,John,COX,Independent,
Aberdeenshire Council,Banff and District Ward,Glen David,REYNOLDS,Scottish National Party (SNP),
Aberdeenshire Council,Banff and District Ward,Mike,ROY,Scottish Conservative and Unionist,
Aberdeenshire Council,Banff and District Ward,Alison,SIMPSON,Scottish Liberal Democrats,
Aberdeenshire Council,Troup Ward,Ross Alexander,CASSIE,Scottish National Party (SNP),
Aberdeenshire Council,Troup Ward,Mark,FINDLATER,Scottish Conservative and Unionist,
Aberdeenshire Council,Troup Ward,Sandy,LESLIE,Scottish Liberal Democrats,
Aberdeenshire Council,Troup Ward,Hamish,PARTRIDGE,Independent,
Aberdeenshire Council,Troup Ward,Ray,STEPHEN,Scottish Labour Party,
Aberdeenshire Council,Troup Ward,Ricky,TAYLOR,Scottish National Party (SNP),
Aberdeenshire Council,Fraserburgh and District Ward,Ann,BELL,Scottish Liberal Democrats,
Aberdeenshire Council,Fraserburgh and District Ward,Charles Cummin,BUCHAN,Scottish National Party (SNP),
Aberdeenshire Council,Fraserburgh and District Ward,David,DONN,Scottish National Party (SNP),
Aberdeenshire Council,Fraserburgh and District Ward,Andy,KILLE,Scottish Conservative and Unionist,
Aberdeenshire Council,Fraserburgh and District Ward,Doreen,MAIR,Independent,
Aberdeenshire Council,Fraserburgh and District Ward,Charlie,REID,Independent,
Aberdeenshire Council,Fraserburgh and District Ward,Ian,TAIT,Independent,
Aberdeenshire Council,Fraserburgh and District Ward,Brian Anderson,TOPPING,Scottish National Party (SNP),
Aberdeenshire Council,Fraserburgh and District Ward,KENNETH DUNCAN,WATT,Scottish Labour Party,
Aberdeenshire Council,Fraserburgh and District Ward,MICHAEL,WATT,Independent,
Aberdeenshire Council,Central Buchan Ward,Marion Anne,BUCHAN,Scottish Conservative and Unionist,
Aberdeenshire Council,Central Buchan Ward,Jim,INGRAM,Scottish National Party (SNP),
Aberdeenshire Council,Central Buchan Ward,Lenny,PIRIE,Scottish National Party (SNP),
Aberdeenshire Council,Central Buchan Ward,Anne Margaret,SIMPSON,Scottish Liberal Democrats,
Aberdeenshire Council,Central Buchan Ward,Norman,SMITH,Independent,
Aberdeenshire Council,Peterhead North and Rattray Ward,Anne Margaret,ALLAN,Scottish National Party (SNP),
Aberdeenshire Council,Peterhead North and Rattray Ward,Dianne,BEAGRIE,Scottish Conservative and Unionist,
Aberdeenshire Council,Peterhead North and Rattray Ward,Alan S,BUCHAN,Independent,
Aberdeenshire Council,Peterhead North and Rattray Ward,Alistair,MASSEY,Scottish Liberal Democrats,
