council,ward_no,post_label,post_id
ORKNEY_ISLANDS,4,"West Mainland",S13002735
ORKNEY_ISLANDS,3,"Stromness and South Isles",S13002734
ORKNEY_ISLANDS,5,"East Mainland, South Ronaldsay and Burray",S13002736
ORKNEY_ISLANDS,2,"Kirkwall West and Orphir",S13002733
ORKNEY_ISLANDS,1,"Kirkwall East",S13002732
ORKNEY_ISLANDS,6,"North Isles",S13002737
"Perth and Kinross Council Area",1,"Carse of Gowrie",S13003063
"Perth and Kinross Council Area",2,Strathmore,S13003064
"Perth and Kinross Council Area",3,"Blairgowrie and Glens",S13003065
"Perth and Kinross Council Area",4,Highland,S13003066
"Perth and Kinross Council Area",5,Strathtay,S13003067
"Perth and Kinross Council Area",6,Strathearn,S13003068
"Perth and Kinross Council Area",7,Strathallan,S13003069
"Perth and Kinross Council Area",8,Kinross-shire,S13003070
"Perth and Kinross Council Area",9,"Almond and Earn",S13003071
"Perth and Kinross Council Area",10,"Perth City South",S13003072
"Perth and Kinross Council Area",11,"Perth City North",S13003073
"Perth and Kinross Council Area",12,"Perth City Centre",S13003074
"Renfrewshire Council Area",1,"Renfrew North and Braehead",S13003075
"Renfrewshire Council Area",2,"Renfrew South and Gallowhill",S13003076
"Renfrewshire Council Area",3,"Paisley Northeast and Ralston",S13003077
"Renfrewshire Council Area",4,"Paisley Northwest",S13003078
"Renfrewshire Council Area",5,"Paisley East and Central",S13003079
"Renfrewshire Council Area",6,"Paisley Southeast",S13003080
"Renfrewshire Council Area",7,"Paisley Southwest",S13003081
"Renfrewshire Council Area",8,"Johnstone South and Elderslie",S13003082
"Renfrewshire Council Area",9,"Johnstone North, Kilbarchan, Howwood and Lochwinnoch",S13003083
"Renfrewshire Council Area",10,"Houston, Crosslee and Linwood",S13003084
"Renfrewshire Council Area",11,"Bishopton, Bridge of Weir and Langbank",S13003085
"Renfrewshire Council Area",12,"Erskine and Inchinnan",S13003086
SCOTTISH_BORDERS,7,"East Berwickshire Ward",S13002767
SCOTTISH_BORDERS,1,"Tweeddale West Ward",S13002761
SCOTTISH_BORDERS,4,"Selkirkshire Ward",S13002764
SCOTTISH_BORDERS,11,"Hawick and Hermitage Ward",S13002771
SCOTTISH_BORDERS,10,"Hawick and Denholm Ward",S13002770
SCOTTISH_BORDERS,2,"Tweeddale East Ward",S13002762
SCOTTISH_BORDERS,9,"Jedburgh and District Ward",S13002769
SCOTTISH_BORDERS,8,"Kelso and District Ward",S13002768
SCOTTISH_BORDERS,3,"Galashiels and District Ward",S13002763
SCOTTISH_BORDERS,5,"Leaderdale and Melrose Ward",S13002765
SCOTTISH_BORDERS,6,"Mid Berwickshire Ward",S13002766
SHETLAND_ISLANDS,5,"Shetland South",S13002776
SHETLAND_ISLANDS,2,"Shetland North",S13002773
SHETLAND_ISLANDS,3,"Shetland West",S13002774
SHETLAND_ISLANDS,1,"North Isles",S13002772
SHETLAND_ISLANDS,7,"Lerwick South",S13002778
SHETLAND_ISLANDS,4,"Shetland Central",S13002775
SHETLAND_ISLANDS,6,"Lerwick North",S13002777
"South Ayrshire Council Area",1,Troon,S13003087
"South Ayrshire Council Area",2,Prestwick,S13003088
"South Ayrshire Council Area",3,"Ayr North",S13003089
"South Ayrshire Council Area",4,"Ayr East",S13003090
"South Ayrshire Council Area",5,"Ayr West",S13003091
"South Ayrshire Council Area",6,Kyle,S13003092
"South Ayrshire Council Area",7,"Maybole, North Carrick and Coylton",S13003093
"South Ayrshire Council Area",8,"Girvan and South Carrick",S13003094
"South Lanarkshire Council Area",1,"Clydesdale West",S13003095
"South Lanarkshire Council Area",2,"Clydesdale North",S13003096
"South Lanarkshire Council Area",3,"Clydesdale East",S13003097
"South Lanarkshire Council Area",4,"Clydesdale South",S13003098
"South Lanarkshire Council Area",5,"Avondale and Stonehouse",S13003099
"South Lanarkshire Council Area",6,"East Kilbride South",S13003100
"South Lanarkshire Council Area",7,"East Kilbride Central South",S13003101
"South Lanarkshire Council Area",8,"East Kilbride Central North",S13003102
"South Lanarkshire Council Area",9,"East Kilbride West",S13003103
"South Lanarkshire Council Area",10,"East Kilbride East",S13003104
"South Lanarkshire Council Area",11,"Rutherglen South",S13003105
"South Lanarkshire Council Area",12,"Rutherglen Central and North",S13003106
"South Lanarkshire Council Area",13,"Cambuslang West",S13003107
"South Lanarkshire Council Area",14,"Cambuslang East",S13003108
"South Lanarkshire Council Area",15,Blantyre,S13003109
"South Lanarkshire Council Area",16,"Bothwell and Uddingston",S13003110
"South Lanarkshire Council Area",17,"Hamilton North and East",S13003111
"South Lanarkshire Council Area",18,"Hamilton West and Earnock",S13003112
"South Lanarkshire Council Area",19,"Hamilton South",S13003113
"South Lanarkshire Council Area",20,Larkhall,S13003114
"Stirling Council Area",1,"Trossachs and Teith",S13003115
"Stirling Council Area",2,"Forth and Endrick",S13003116
"Stirling Council Area",3,"Dunblane and Bridge of Allan",S13003117
"Stirling Council Area",4,"Stirling North",S13003118
"Stirling Council Area",5,"Stirling West",S13003119
"Stirling Council Area",6,"Stirling East",S13003120
"Stirling Council Area",7,Bannockburn,S13003121
"West Dunbartonshire Council Area",1,Lomond,S13003122
"West Dunbartonshire Council Area",2,Leven,S13003123
"West Dunbartonshire Council Area",3,Dumbarton,S13003124
"West Dunbartonshire Council Area",4,Kilpatrick,S13003125
"West Dunbartonshire Council Area",5,"Clydebank Central",S13003126
"West Dunbartonshire Council Area",6,"Clydebank Waterfront",S13003127
WEST_LOTHIAN,1,"Linlithgow Ward",S13002820
WEST_LOTHIAN,6,"Fauldhouse and the Breich Valley Ward",S13002825
WEST_LOTHIAN,5,"East Livingston and East Calder Ward",S13002824
WEST_LOTHIAN,9,"Armadale and Blackridge Ward",S13002828
WEST_LOTHIAN,8,"Bathgate Ward",S13002827
WEST_LOTHIAN,7,"Whitburn and Blackburn Ward",S13002826
WEST_LOTHIAN,4,"Livingston South Ward",S13002823
WEST_LOTHIAN,3,"Livingston North Ward",S13002822
WEST_LOTHIAN,2,"Broxburn, Uphall and Winchburgh Ward",S13002821
